location_id,name,plainName,cp,lat,lon,createdAt,updatedAt
219,Xàbia,xabia,3730,38.789059,0.16674,2/21/2016 11:21:57,2/21/2016 11:21:57
220,Xixona,xixona,3100,38.54216,-0.506584,2/21/2016 11:21:57,2/21/2016 11:21:57
221,Llíber,lliber,3729,38.74303,0.0055,2/21/2016 11:21:57,2/21/2016 11:21:57
222,Orxa,orxa,3860,38.84631,-0.3121,2/21/2016 11:21:57,2/21/2016 11:21:57
223,Millena,millena,3812,38.730408,-0.363941,2/21/2016 11:21:57,2/21/2016 11:21:57
224,Monforte del Cid,monforte-del-cid,3670,38.38073,-0.72963,2/21/2016 11:21:57,2/21/2016 11:21:57
225,Monóvar,monovar,3640,38.434132,-0.83963,2/21/2016 11:21:57,2/21/2016 11:21:57
226,Montesinos,montesinos,3187,38.028011,-0.74302,2/21/2016 11:21:57,2/21/2016 11:21:57
227,Murla,murla,3792,38.761725,-0.081937,2/21/2016 11:21:57,2/21/2016 11:21:57
228,Muro de Alcoy,muro-de-alcoy,3830,38.781255,-0.441429,2/21/2016 11:21:57,2/21/2016 11:21:57
229,Mutxamel,mutxamel,3110,38.415105,-0.444804,2/21/2016 11:21:57,2/21/2016 11:21:57
230,Novelda,novelda,3660,38.382505,-0.763819,2/21/2016 11:21:57,2/21/2016 11:21:57
231,Nucia,nucia,3530,38.614859,-0.124969,2/21/2016 11:21:57,2/21/2016 11:21:57
232,Ondara,ondara,3760,38.82614,0.020175,2/21/2016 11:21:57,2/21/2016 11:21:57
233,Onil,onil,3430,38.625015,-0.673289,2/21/2016 11:21:57,2/21/2016 11:21:57
234,Orba,orba,3790,38.77965,-0.062788,2/21/2016 11:21:57,2/21/2016 11:21:57
235,Orihuela,orihuela,3300,38.081765,-0.944804,2/21/2016 11:21:57,2/21/2016 11:21:57
236,Orxeta,orxeta,3579,38.563483,-0.262862,2/21/2016 11:21:57,2/21/2016 11:21:57
237,Parcent,parcent,3792,38.74516,-0.067584,2/21/2016 11:21:57,2/21/2016 11:21:57
238,Pedreguer,pedreguer,3750,38.795815,0.034785,2/21/2016 11:21:57,2/21/2016 11:21:57
239,Pego,pego,3780,38.842885,-0.115088,2/21/2016 11:21:57,2/21/2016 11:21:57
240,Penàguila,penaguila,3815,38.678681,-0.359806,2/21/2016 11:21:57,2/21/2016 11:21:57
241,Petrer,petrer,3610,38.489315,-0.785949,2/21/2016 11:21:57,2/21/2016 11:21:57
242,Pilar de la Horadada,pilar-de-la-horadada,3190,37.86402,-0.789839,2/21/2016 11:21:57,2/21/2016 11:21:57
243,Pinós,pinos-alicante,3720,38.397644,-1.041641,2/21/2016 11:21:57,2/21/2016 11:21:57
244,Planes,planes,3828,38.784124,-0.344916,2/21/2016 11:21:57,2/21/2016 11:21:57
245,Poblets,poblets,3779,38.852676,0.018024,2/21/2016 11:21:57,2/21/2016 11:21:57
246,Polop,polop,3520,38.622436,-0.126171,2/21/2016 11:21:57,2/21/2016 11:21:57
